key	created	updated	type	status	role	assignee	reporter	labels	components	parent	summary
PROJECTT-12594	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,위어우드의기억	Design	PROJECTT-12568	[2.1.][올드타운][레벨] 필드 컨텐츠_위어우드의 기억
PROJECTT-12596	2023-07-04	2025-06-18	Sub-Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,리치_2.2_브라이트워터킵,위기의성소	Design	PROJECTT-12595	[2.2.][브라이트워터킵][레벨] 필드 컨텐츠_위기의 성소 제작
PROJECTT-12597	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.2_브라이트워터킵,위어우드의기억	Design	PROJECTT-12595	[2.2.][브라이트워터킵][레벨] 필드 컨텐츠_위어우드의 기억
PROJECTT-12606	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,북부	Design	PROJECTT-12603	[1.1.~1.4.][북부][레벨] 필드의 레벨 구성 요소 정리 - 1번 구역
PROJECTT-12612	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,최북단_필드	Design	PROJECTT-12603	[1.1.][최북단][레벨] 필드 테스트 및 오류 수정, 폴리싱
PROJECTT-12613	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-12615	[2.1.][올드타운][레벨] 필드 테스트 및 오류 수정, 폴리싱
PROJECTT-12614	2023-07-04	2025-06-18	Sub-Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,리치_2.2_브라이트워터킵	Design	PROJECTT-12616	[2.2.][브라이트워터킵][레벨] 필드 테스트 및 오류 수정, 폴리싱
PROJECTT-12615	2023-07-04	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design		[2.1.][올드타운][레벨] 올드타운 데이터 구성 및 아트 작업 대응
PROJECTT-12617	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-12615	[2.1.][올드타운][레벨] 올드타운 도시/실내 테스트 및 오류 수정, 폴리싱
PROJECTT-12628	2023-07-04	2025-06-18	Task	DONE	과거담당	sungmin.jung	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design		[2.3.][하이가든][레벨] 필드 컨텐츠 제작
HELPDESK-46054	2023-07-19	2023-07-19	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5 시원하게 해주세요.
HELPDESK-46090	2023-07-19	2023-07-19	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 시원하게 해주세요.
HELPDESK-46206	2023-07-20	2023-07-20	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 시원하게 해주세요.
HELPDESK-46322	2023-07-21	2023-07-21	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 시원하게 해주세요.
HELPDESK-46491	2023-07-24	2023-07-24	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 부탁드립니다.
HELPDESK-46529	2023-07-24	2023-07-24	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 부탁드립니다.
HELPDESK-46846	2023-07-27	2023-07-27	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 부탁드립니다.
PROJECTT-13158	2023-07-27	2025-06-18	Task	DONE	과거담당	sungmin.jung	sungmin.jung	레벨디자인,북부_1.2_윈터펠,위어우드의기억	Design		[1.2.][윈터펠][레벨] 위어우드의 기억 레벨 구성
HELPDESK-46932	2023-07-28	2023-07-28	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 부탁드립니다.
HELPDESK-46952	2023-07-28	2023-07-28	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 세게 부탁드립니다.
HELPDESK-47233	2023-08-01	2023-08-01	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 강력하게 부탁드립니다.
HELPDESK-47265	2023-08-01	2023-08-01	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 더욱더 세게 부탁드립니다.
HELPDESK-47316	2023-08-01	2023-08-01	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 가능한 세게 부탁드립니다.
HELPDESK-47338	2023-08-01	2023-08-01	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 더욱더 세게 부탁드립니다.
HELPDESK-47877	2023-08-07	2023-08-07	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 3도 낮춰주세요~
HELPDESK-48415	2023-08-11	2023-08-11	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 냉방 부탁드립니다.
PROJECTT-13432	2023-08-11	2025-06-18	Sub-Task	DONE	과거담당	sungmin.jung	sungmin.jung	레벨디자인,리치_2.3_하이가든,버려진유적지	Design	PROJECTT-12628	[2.3.][하이가든][레벨] 필드 컨텐츠-버려진 유적지 1, 2호
PROJECTT-13434	2023-08-11	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든,위어우드의기억	Design	PROJECTT-12628	[2.3.][하이가든][레벨] 필드 컨텐츠_위어우드의 기억
HELPDESK-48495	2023-08-14	2023-08-14	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4, 5구역 3도 낮춰주세요.
HELPDESK-48605	2023-08-16	2023-08-16	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-5 냉방 3도 내려주세요.
HELPDESK-49957	2023-08-29	2023-08-29	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 시원하게 해주세요.
PROJECTT-13921	2023-09-01	2025-08-11	Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,장벽너머원정	Design		[월드][레벨] 장벽너머 PvE 컨텐츠 목업 제작
PROJECTT-14075	2023-09-08	2023-11-08	Task	DONE	보고자	jongjin	seokwan	PC_운반	Client		[클라] 운반(Carry) 타입 가젯에 컬리전 구현
HELPDESK-50911	2023-09-11	2023-09-11	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 시원하게 해주세요.
HELPDESK-51442	2023-09-18	2023-09-18	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5,6 시원하게 해주세요.
PROJECTT-14275	2023-09-18	2023-10-27	Task	DONE	과거담당	jongjin	bohyeon	가젯	Client		[클래스][상태] 통나무 든 상태에서 피격 시, 통나무가 공중에 떠 있는 현상
PROJECTT-14316	2023-09-20	2025-06-18	Bug	DONE	보고자	jinjunhyuk	seokwan	NPC_그리핀,기억의제단	Client		[클라] 그리핀 던전 파괴되는 오크통의 파편에 블러가 심하게 생기는 문제
PROJECTT-14683	2023-10-06	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	리치_2.1_올드타운,흉포한동물	Design		[2.1.][올드타운][레벨] 흉포한 동물(곰) 지역 레벨 디자인
PROJECTT-14686	2023-10-06	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	최북단_2.0._레난스레스트	Design		[2.0.][최북단] 북부 완료 후, 최북단 확장 영역 레벨디자인
PROJECTT-15401	2023-11-02	2025-06-18	Task	DONE	보고자	jongjin	seokwan	PC_운반,가젯	Client		[클래스][상태] Carry 가젯을 든 상태로 특정 위치로 이동 시 움직임이 꼬이는 현상
PROJECTT-15855	2023-11-16	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	최북단_2.0._레난스레스트	Design	PROJECTT-12603	[1.1.][최북단][레벨] 레난스레스트~라스트허스 구간 개선 목업 제작
PROJECTT-15856	2023-11-16	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	리치_2.3_하이가든	Design	PROJECTT-11355	[2.3.][하이가든][레벨] 로즈워터 점령된 구역 목업 제작
PROJECTT-15955	2023-11-22	2025-06-18	Bug	DONE	보고자	changhee	seokwan	위기의성소	Client		[클라] 위기의 성소 콘텐츠에서 몇몇 타겟이 파괴되지 않는 현상
PROJECTT-16552	2023-12-26	2025-06-30	Task	DONE	과거담당	eunji_jang	sungmin.jung	NPC_크라켄	Design		[3.1][스톰즈엔드][던전][연출] 기억의 제단 - 크라켄
PROJECTT-16559	2023-12-26	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	버려진유적지,최북단	Design		[2.0.][최북단] 최북단 확장 영역 버려진 유적지 목업 제작
PROJECTT-16560	2023-12-26	2025-06-18	Task	DONE	과거담당	sungmin.jung	sungmin.jung	리치_2.1_올드타운,세력은신처	Design		[2.1.][올드타운] 세력 은신처 데이터 재구성
PROJECTT-16561	2023-12-26	2025-08-11	Task	DONE	현담당	seokwan	sungmin.jung	장벽너머원정	Design		[월드][레벨] 장벽너머 PvE 컨텐츠 목업 제작 (9/9)
NNT-966	2024-01-03	2024-01-05	Defect	DONE	과거담당	dongyub	dongyub	메인퀘스트	04. 아트[Art]		[퀘스트] 티레의 변화 - 몰스타운으로 이동하기 태스크에서 몰스타운 지역으로 이동할 수 없는 현상
NNT-1134	2024-01-15	2024-05-13	Defect	DONE	과거담당	jeongwoo	jeongwoo	월드	01.-1. 기획[Uasset]		[월드] '위어우드의 기억 : 최북단' 지역 남서쪽 절벽으로 이동 가능한 현상
NNT-1202	2024-01-17	2024-06-25	Suggestions	DONE	과거담당	eunyoul	eunyoul	개선,월드	01. 기획[Planning Issues]		[월드] 라스트 허스 특정 구역에서 주변 지형 때문에 보이는 것보다 실제 움직일 수 있는 범위가 좁은 구역이 있어 개선 건의드립니다.
NNT-1343	2024-01-25	2024-09-30	Defect	DONE	과거담당	jeongwoo	jeongwoo	월드,탈것,특수지형이동	01.-1. 기획[Uasset]		[탈것][월드] 탑승 상태에서 레난스레스트 이정표 앞 이동시 평지에서 울타리 넘기를 수행하는 현상
NNT-1374	2024-01-26	2024-05-10	Defect	DONE	과거담당	eunyoul	eunyoul	월드	01.-1. 기획[Uasset]		[월드] 시타델 시청 입구 진입 시 문과 시청 내부가 외부에서 진입할 때와 진입 후가 다릅니다.
PROJECTT-17537	2024-01-26	2025-06-18	Sub-Task	DONE	보고자	jongjin	seokwan	가젯	Client	PROJECTT-17549	[월드][클라] 철문 게이트 닫히는 몽타주에 콜리전이 생성되게 하는 노티 추가
NNT-1379	2024-01-26	2024-06-13	Defect	DONE	과거담당	eunyoul	eunyoul	서브퀘스트,퀘스트	01. 기획[Planning Issues]		[퀘스트] 노파의 저주 퀘스트 중 모틴과의 전투 태스크에서 모틴 Npc가 일정 구역 이상 넘어오지 못합니다.
PROJECTT-17549	2024-01-29	2025-06-18	Story	DONE	현담당	seokwan	seokwan	가젯	Design		[월드] 버려진 유적지의 철문 게이트 닫히도록 작업 요청
NNT-1435	2024-01-31	2024-06-11	Defect	DONE	과거담당	eunyoul	eunyoul	메인퀘스트,퀘스트	01. 기획[Planning Issues]		[퀘스트] 학사 알라릭 Npc가 시야 밖에서 스폰되는 경우 비정상적인 위치에서 스폰됩니다.
NNT-1450	2024-01-31	2024-02-07	Defect	DONE	과거담당	eunyoul	eunyoul	메인퀘스트,퀘스트	04. 아트[Art]		[퀘스트] 올드 타운 금지된 지식의 도둑들 추적하기 태스크에서 도둑 Npc가 비정상적인 위치에 스폰됩니다.
NNT-1472	2024-02-01	2024-09-30	Defect	DONE	과거담당	eunyoul	eunyoul	서브퀘스트,월드,퀘스트	01.-1. 기획[Uasset]		[퀘스트] 올드 타운 서브퀘스트 즐거운 연회 중 갇힐 수 있는 구역이 있습니다.
NNT-1506	2024-02-01	2024-02-13	Suggestions	DONE	과거담당	eunyoul	eunyoul	서브퀘스트,퀘스트	04. 아트[Art]		[퀘스트] 즐거운 연회 퀘스트의 사과주 보관장소로 이동하기 동선 문의드립니다.
NNT-1509	2024-02-01	2024-05-13	Defect	DONE	과거담당	jeongwoo	jeongwoo	버려진유적지,월드,특수지형이동	00. 데이터테이블[DataTable]		[버려진유적지] 버려진 유적지 : 윈터펠 남쪽 바닥에서 위쪽 나무 발판 위에 있는 로프에 상호작용이 가능한 현상
NNT-1524	2024-02-02	2024-07-01	Defect	DONE	과거담당	eunyoul	eunyoul	월드	01.-1. 기획[Uasset]		[월드] 올드 타운 시타델 외벽 근처에서 벽을 뚫고 추락합니다.
NNT-1630	2024-02-06	2024-05-21	Defect	DONE	과거담당	jeongwoo	jeongwoo	메인퀘스트,월드,퀘스트	01.-1. 기획[Uasset]		[월드][퀘스트] 텐족 전사와 전투하지 않고 메인 퀘스트 동선을 벗어나 퀸스크라운 통과가 가능한 현상
NNT-1650	2024-02-07	2024-04-02	Defect	DONE	과거담당	heungshik	heungshik	흉포한동물	01.-1. 기획[Uasset]		[흉포한동물] '흉포한 동물 : 엘크' 전투시 NPC와 PC 사이에 오브젝트가 있는상태에서 전투시, NPC가 오브젝트에 껴있거나 순간 이동하는 모션이 출력됩니다.
NNT-1657	2024-02-07	2024-03-20	Defect	DONE	과거담당	euijun	euijun	퀘스트	01.-1. 기획[Uasset]		[퀘스트] 귀향 - 야인 정예병 처치 메인 퀘스트 진행 시 특정 위치에서 피격받지 않고 몬스터를 공격할 수 있는 현상
NNT-1666	2024-02-07	2024-06-12	Defect	DONE	과거담당	eunyoul	eunyoul	특수지형이동	01. 기획[Planning Issues]		[특수지형이동] 시타델 지하 감옥 특정 구역의 사다리 이동 시 정상적으로 이동하지 않습니다.
NNT-1730	2024-02-13	2024-07-01	Defect	DONE	과거담당	jeongwoo	jeongwoo	레벨기믹	01.-1. 기획[Uasset]		[레벨기믹] 물체옮기기 기믹에 흰점과 상호작용 아이콘이 지형지물로 가려진 위치에서도 노출되는 현상
NNT-1803	2024-02-14	2024-02-27	Defect	DONE	과거담당	heungshik	heungshik	월드	01.-1. 기획[Uasset]		[월드] 영지 퀘스트 '식어버린 화로' (미끼 재료 챙기기) 퀘스트 지역내 일부 오브젝트가 PC 동선을 막아 퀘스트 진행이 불편합니다.
PROJECTT-17705	2024-02-14	2025-06-18	Sub-Task	DONE	현담당	seokwan	seokwan		Design	PROJECTT-12628	[2.3.][하이가든][레벨] 필드 컨텐츠-점령된 구역(로즈워터) 데이터 작업
NNT-1935	2024-02-20	2024-07-10	Defect	DONE	과거담당	inho.jeong	inho.jeong	퀘스트	01.-1. 기획[Uasset]		[퀘스트] 금지된 지식 - 도서관의 출구 점거하기(21310609) 진행 시 원거리 공격을 진행이 불가한 현상
PROJECTT-17962	2024-02-26	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	길찾기	Design	PROJECTT-17940	[월드] 길찾기 waypoint 정리 및 관리 - 최북단
PROJECTT-17966	2024-02-26	2025-06-18	Sub-Task	DONE	과거담당	eunji_jang	sungmin.jung	길찾기	Design	PROJECTT-19344	[월드] 길찾기 waypoint 정리 및 관리 - 리치 올드타운
PROJECTT-17968	2024-02-26	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	길찾기	Design	PROJECTT-19344	[월드] 길찾기 waypoint 정리 및 관리 - 리치 하이가든
NNT-2150	2024-03-04	2024-09-30	Defect	DONE	과거담당	heungshik	heungshik	장애물넘기,특수지형이동	01.-1. 기획[Uasset]		[특수지형이동] 장애물 넘기가 적용된 벽 양옆으로 높이가 다른 경우 > 높은곳에서 낮은곳으로 담넘기시 속도가 빠르게 PC가 착지하게 되며, 낮은곳에서 높은곳으로의 장애물 넘기는 모션만 동작하고 넘어가지 못하는 경우
NNT-2157	2024-03-05	2024-11-01	Defect	DONE	과거담당	heungshik	heungshik	미니게임	02. 서버[Server]		[미니게임] 히로돈과 라이엄의 실험 > NPC 스폰 후 PC에게 질주하지만 무언가에 걸린것처럼 제자리에서 움직입니다.
NNT-2173	2024-03-05	2024-10-10	Defect	DONE	과거담당	heungshik	heungshik	전투	03. 클라이언트[Client]		[전투] 물가 위 다리에서의 전투 상황 발생시, NPC의 넉백 스킬 등으로 인해 PC 추락이 가능합니다.
NNT-2233	2024-03-06	2024-09-30	Defect	DONE	과거담당	taehyung	taehyung	월드,위기의성소	04. 아트[Art]		[위기의성소][월드] 브라이트워터킵1 진행 구역에 PC 진입시 이동 불가능한 지형이 있습니다
NNT-2236	2024-03-06	2024-05-10	Defect	DONE	과거담당	heungshik	heungshik	특수지형이동	01.-1. 기획[Uasset]		[특수지형이동] middle in water 에 위치시 특수이동이 불가합니다.
NNT-2238	2024-03-07	2024-09-30	Defect	DONE	과거담당	heungshik	heungshik	월드,퀘스트	04. 아트[Art]		[퀘스트][월드] 특정 좌표의 문턱이 불필요하게 높아 부자연스럽습니다.
PROJECTT-18140	2024-03-07	2025-06-18	Bug	DONE	과거담당	jimin.kim	hycho	위어우드의기억	Server		[월드][위어우드의기억] 위어우드의 기억에서 보스몬스터의 HP바 UI가 미노출되는 현상
NNT-2264	2024-03-07	2024-09-30	Defect	DONE	과거담당	heungshik	heungshik	월드	04. 아트[Art]		[월드] 올드 타운 특정 위치에 검정색 컬리전이 설치되어있어 PC 및 NPC가 허공 이동이 가능합니다.
NNT-2273	2024-03-07	2024-05-13	Defect	DONE	과거담당	heungshik	heungshik	월드	01. 기획[Planning Issues]		[월드] 올드 타운 특정 좌표의 공간이 PC가 접근해야 보입니다.
NNT-2275	2024-03-07	2024-05-10	Defect	DONE	과거담당	heungshik	heungshik	SFX,사운드	01.-1. 기획[Uasset]		[사운드][SFX] 올드타운 특정 건물내 발걸음 효과음이 없습니다.
NNT-2312	2024-03-08	2024-08-16	Defect	DONE	과거담당	taehyung	taehyung	월드,위기의성소	04. 아트[Art]		[위기의성소][월드] 브라이트워터킵 위기의 성소에서 한쪽 길을 PC가 통과하지 못해 진행 동선상 불편함이 발생합니다
NNT-2389	2024-03-11	2024-12-02	Defect	DONE	과거담당	jeongwoo	jeongwoo	월드	03. 클라이언트[Client]		[월드] 흉포한 동물: 검은엘크 출현지역 내에 배치된 지형지물이 PC와 부딪힐 경우에도 파괴되는 현상 문의
NNT-2455	2024-03-12	2024-05-10	Defect	DONE	과거담당	heungshik	heungshik	레벨기믹	01.-1. 기획[Uasset]		[레벨기믹] 특정위치의 문 기믹 조작시, 문열기 모션이 즉각 동작하지 않고 1회 더 입력하여야 동작합니다.
NNT-2472	2024-03-13	2024-04-08	Defect	DONE	과거담당	heungshik	heungshik	리치_하이가든,퀘스트	00. 데이터테이블[DataTable]		[퀘스트] 출발의 조건(짐마차 도둑들에 대해 조사하기)Task > 일부 가젯 조작 버튼이 허공에 출력됩니다.
NNT-2482	2024-03-13	2024-06-14	Defect	DONE	과거담당	heungshik	heungshik	NPC,전투	01. 기획[Planning Issues]		[전투] PC가 계단 위쪽에 위치 > 계단 아래쪽의 적 NPC가 PC를 향해 돌진 스킬 사용시 무언가에 걸린듯 제자리에서 모션을 취하는 경우가 있습니다.
NNT-2505	2024-03-14	2024-09-30	Defect	DONE	과거담당	heungshik	heungshik	월드	04. 아트[Art]		[월드] 올드타운 항구 남쪽에 위치한 '버려진 유적지 : 녹색 항구' 근방에 물타일이 비어있거나, 육안으로 보이는 텍스처와 컬리전에 차이가 있는 지역이 존재합니다.
NNT-2507	2024-03-14	2024-05-21	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] '버려진 유적지 : 녹색 항구' 지역 PC 이동에 걸리는 컬리전이 있으며 클리어가 불가합니다.
NNT-2510	2024-03-14	2024-05-21	Defect	DONE	과거담당	taehyung	taehyung	버려진유적지,월드	01.-1. 기획[Uasset]		[버려진유적지][월드] 녹색 항구 버려진 유적지에서 특정 위치의 벽이 완성되어있지 않은 현상
NNT-2511	2024-03-14	2024-05-21	Defect	DONE	과거담당	eunyoul	eunyoul	레벨기믹	01.-1. 기획[Uasset]		[레벨기믹] 이중 사다리 기믹에 원거리 공격 시 간헐적으로 사다리가 내려오지 않습니다.
NNT-2512	2024-03-14	2024-05-23	Defect	DONE	과거담당	taehyung	taehyung	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] 녹색 항구 버려진 유적지 특정 위치 진입시 물가에서 벗어나지 못하는 현상
NNT-2513	2024-03-14	2024-08-29	Defect	DONE	과거담당	heungshik	heungshik	PC액션,버려진유적지	01. 기획[Planning Issues]		[PC액션][버려진유적지] carry 상자 가젯 위로 올라가기 위한 점프 성공 판정이 낮습니다.
NNT-2515	2024-03-14	2024-07-01	Defect	DONE	과거담당	inho.jeong	inho.jeong	레벨기믹	04. 아트[Art]		[레벨기믹] 문을 열고 실내로 들어갈 때 PC가 문에 끼인것처럼 카메라가 노출되는 현상
NNT-2522	2024-03-14	2024-11-14	Defect	DONE	과거담당	jeongwoo	jeongwoo	레벨기믹	03. 클라이언트[Client]		[레벨기믹] 물체옮기기 레벨기믹 위치 초기화시 해당 위치에 PC가 있을 경우 캐릭터가 물체에 끼이는 현상 문의
NNT-2524	2024-03-14	2025-02-06	Defect	DONE	과거담당	heungshik	heungshik	레벨기믹,버려진유적지,재접속	01. 기획[Planning Issues]		[버려진유적지][레벨기믹] 레벨기믹 조작 상태가 네트워크 재접속시 초기화되어, 다시 설치해야하는 불편함이 존재하며, 이때 PC가 기믹에 끼어 조작이 불가한 상황이 발생합니다.
NNT-2525	2024-03-14	2024-07-03	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	00. 데이터테이블[DataTable]		[버려진유적지] 버려진 유적지 : 학자의 성채 > PC가 지형에 끼이는 지형이 존재합니다.
NNT-2529	2024-03-14	2024-06-13	Defect	DONE	과거담당	eunyoul	eunyoul	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] 올드타운 학자의 성채에서 특정 구역 바닥에 얕은 단차가 있어 진행 중 방해를 받습니다.
NNT-2538	2024-03-14	2024-12-04	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	00. 데이터테이블[DataTable]		[버려진유적지] 버려진 유적지 : 학자의 성채 > PC 이동에 제한이 걸리는 지형 존재
NNT-2539	2024-03-14	2024-07-01	Defect	DONE	과거담당	eunyoul	eunyoul	버려진유적지	00. 데이터테이블[DataTable]		[버려진유적지] 올드타운 학자의 성채에서 특정 구역에 빠졌을 때 자연스러운 방법으로 탈출할 수 없습니다.
NNT-2541	2024-03-14	2024-08-29	Defect	DONE	과거담당	heungshik	heungshik	상태	01. 기획[Planning Issues]		[상태] Carry 상자 가젯을 든 상태에서 지형에 낮은 단차가 있는 경우 이동이 자유롭지 못하거나, Carry 모션이 어색합니다.
NNT-2544	2024-03-14	2024-07-03	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	00. 데이터테이블[DataTable]		[버려진유적지] 버려진 유적지 : 학자의 성채 > 하얀 칠 된 장애물을 넘지 못합니다.
NNT-2549	2024-03-14	2024-05-02	Defect	DONE	과거담당	euijun	euijun	월드,웜워크	01.-1. 기획[Uasset]		[웜워크][월드] 웜워크 입장 지역 부근 막혀있는 지형을 통과하여 이동하는 현상
PROJECTT-18255	2024-03-15	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,월드	Design		[월드][레벨] 최북단 후반부 플레이 경험 개선
NNT-2570	2024-03-15	2024-09-10	Defect	DONE	과거담당	eunyoul	eunyoul	월드	01.-1. 기획[Uasset]		[월드] 시타델 지하 감옥 특정 구역에서 사다리 조작 및 이동이 불가능합니다.
NNT-2585	2024-03-15	2024-06-11	Defect	DONE	과거담당	taehyung	taehyung	월드	01.-1. 기획[Uasset]		[월드] 올드타운 특정 건물 입구에서 일정 거리 이상 위치시 실내가 비정상적으로 보이는 현상
NNT-2600	2024-03-15	2024-08-07	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] 버려진 유적지 : 모래막이 요새 > 배치된 가젯들이 불완전합니다.
NNT-2601	2024-03-15	2024-08-07	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] 버려진 유적지 : 모래막이 요새 > 특정 좌표의 지면에 구멍이 있어 PC가 추락모션을 취합니다.
NNT-2616	2024-03-19	2024-10-07	Defect	DONE	과거담당	eunyoul	eunyoul	특수지형이동	01.-1. 기획[Uasset]		[특수지형이동] 하이가든 특정 위치의 문 조작 시 조작 불가능한 상태가 됩니다.
NNT-2662	2024-03-21	2024-05-13	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] 버려진 유적지 : 혼우드성 남쪽 > 로프 이동 동선과 도착지점의 지면 위치가 상이합니다.
PROJECTT-18460	2024-03-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	북부_1.1_라스트허스	Design	PROJECTT-18449	[1.1.][최북단] 최북단-레난스레스트 전반부 구간 메인 퀘스트 이동 중심 지형 정리
PROJECTT-18461	2024-03-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	북부_1.1_라스트허스	Design	PROJECTT-18449	[1.1.][최북단] 지형 외각 개선 진행
PROJECTT-18462	2024-03-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	북부_1.1_라스트허스	Design	PROJECTT-18449	[1.1.][최북단] 지역 내 메시 투명화 처리 오류 수정
NNT-2688	2024-03-21	2024-05-10	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	01.-1. 기획[Uasset]		[버려진유적지] 버려진 유적지 : 토르헨스퀘어 > 특정 위치의 외벽 오브젝트가 배경(잔디) 지형과 겹쳐 있습니다.
NNT-2692	2024-03-21	2024-06-14	Defect	DONE	과거담당	heungshik	heungshik	버려진유적지	01. 기획[Planning Issues]		[버려진유적지] 버려진 유적지 : 몰스타운 > 배치된 일부 가젯이 완전하지 않습니다.
NNT-2741	2024-03-25	2024-06-21	Defect	DONE	과거담당	heungshik	heungshik	레벨기믹	01.-1. 기획[Uasset]		[레벨기믹] 탐색시 도르레 핸들 기믹에 이펙트가 없습니다.
NNT-2744	2024-03-25	2024-05-10	Defect	DONE	과거담당	heungshik	heungshik	웜워크	01.-1. 기획[Uasset]		[웜워크] 웜워크 입구 근방의 지형지물이 육안으로 보이는 텍스처와 실제 컬리전에 차이가 있습니다.
NNT-2763	2024-03-25	2024-06-05	Defect	DONE	과거담당	jeongwoo	jeongwoo	레벨기믹	03. 클라이언트[Client]		[레벨기믹] 물체 옮기기 중 다른 물체 상호작용시 상호작용을 시도하는 현상
PROJECTT-18673	2024-03-27	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	개선,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-18449	[1.1.][최북단후반지역] 콘텐츠 수정 사항 레벨 개선 반영 1차
PROJECTT-18674	2024-03-27	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	북부_1.1_라스트허스	Design	PROJECTT-18449	[1.1.][최북단후반지역] 신규 콘텐츠 지역 구성
PROJECTT-18675	2024-03-27	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	북부_1.1_라스트허스	Design	PROJECTT-18449	[1.1.][최북단후반지역] 월드 기본 정리 
NNT-3010	2024-04-02	2024-05-13	Defect	DONE	과거담당	heungshik	heungshik	흉포한동물	01.-1. 기획[Uasset]		[흉포한동물] 검은 엘크 출현지역 외곽 언덕에 위치시, 엘크의 ai가 멈추며 손쉽게 처치가 가능합니다.
NNT-3022	2024-04-02	2024-05-13	Defect	DONE	과거담당	jeongwoo	jeongwoo	월드	01. 기획[Planning Issues]		[월드] 레난스레스트 영접실 내부 일부 가젯 통과가 가능한 현상
